id,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things inÂ his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
3020,9,2,0,2,1,1,3,3,3,5,4,4,1,3,3,4,4,5,4
600,1,2,0,2,1,1,3,5,4,3,2,4,4,2,3,4,3,3,2
1012,8,1,0,2,1,1,3,5,5,5,5,1,5,4,3,5,5,5,1
1156,3,2,0,2,1,1,2,5,5,3,3,2,1,4,1,4,4,4,2
517,6,2,Bengal ,2,1,1,3,4,3,5,4,1,1,2,2,4,4,5,2
1456,10,1,0,2,1,1,3,4,3,3,2,2,3,4,2,4,4,4,2
1452,9,2,0,2,1,1,4,5,4,5,2,4,1,2,2,4,2,5,4
1922,4,2,0,1,1,1,3,5,5,5,2,4,1,3,2,5,4,5,4
89,13,2,0,2,1,2,2,3,3,4,3,4,1,2,3,4,3,4,4
1438,3,1,Norwegian forest cat,1,1,1,2,5,5,4,5,2,1,5,2,5,5,5,1
2155,2,1,0,2,1,1,3,5,5,5,4,1,1,4,2,4,4,5,1
330,5,2,Med hair,2,1,1,3,5,5,5,3,4,1,2,1,5,3,5,3
1736,4,1,0,2,1,2,4,4,4,3,5,5,1,2,3,5,4,4,4
1103,1,1,0,2,1,1,3,4,4,3,1,4,1,3,2,5,1,5,4
1316,4,1,0,2,1,2,3,5,4,3,2,2,1,4,4,5,3,4,2
906,8,1,0,2,1,1,4,4,3,4,5,1,1,4,1,4,2,5,2
2279,3,1,0,2,2,1,3,5,5,5,5,3,1,3,1,5,5,5,3
2322,18,2,0,2,1,1,2,5,4,3,4,2,1,3,2,4,3,4,2
262,6,2,0,2,2,1,3,4,3,3,5,2,2,4,2,5,5,5,2
2686,12,2,tonkinese,2,1,1,3,3,3,3,5,2,1,3,1,5,5,5,1
1307,10,2,0,2,2,2,4,5,3,1,5,2,1,2,1,5,5,5,1
1815,12,1,0,2,1,1,4,3,4,4,4,2,1,3,2,5,4,4,3
3096,5,1,Maine Coon,1,1,1,3,5,3,5,4,1,1,4,1,5,5,5,1
3061,5,2,Somali,1,1,1,4,5,5,5,5,1,1,5,1,5,5,5,1
2084,7,2,0,2,1,1,2,5,4,4,2,4,1,2,3,4,2,4,1
2381,10,1,0,2,1,1,4,4,3,3,1,3,1,2,3,5,4,4,4
813,1,1,0,1,1,1,3,5,5,3,5,5,3,5,3,4,5,4,2
1021,12,1,0,2,1,2,3,4,3,3,2,3,3,1,3,4,2,4,4
2165,9,1,0,2,1,1,4,5,4,3,1,3,3,2,3,3,2,3,1
165,11,1,Burmese,2,2,1,3,5,3,4,5,1,1,3,1,5,5,5,1
2359,15,2,0,2,2,1,2,4,3,3,5,4,1,1,2,4,5,5,3
2519,17,1,0,2,2,2,3,5,4,5,5,5,1,4,1,5,5,5,1
102,5,2,0,2,1,1,3,5,4,3,1,3,1,1,2,3,1,4,4
3310,17,1,Bengal,1,2,1,2,4,4,5,5,2,1,2,1,5,5,5,2
1380,8,1,0,1,1,2,3,4,3,1,5,4,1,3,4,3,4,5,2
2739,15,2,0,2,2,2,3,5,4,5,2,2,1,4,4,3,2,4,2
896,1,2,0,2,1,2,3,3,4,1,2,5,2,3,2,4,4,5,4
544,3,1,0,2,1,1,3,5,5,5,3,1,1,4,1,4,4,5,1
2259,17,2,0,2,2,1,2,4,4,4,1,4,1,2,5,5,1,5,4
2201,1,2,0,2,1,1,3,5,5,3,3,3,1,3,3,4,4,4,4
3316,6,1,0,1,1,2,3,5,5,5,5,3,1,4,1,5,5,5,3
1645,6,1,0,2,1,1,4,4,3,3,5,1,1,3,1,5,5,5,2
2545,7,1,Sphynx,2,1,1,3,5,4,5,5,1,1,4,1,5,5,5,1
1856,8,1,0,2,2,1,3,4,3,1,3,4,1,3,3,5,3,4,4
3288,14,2,0,2,2,1,4,4,3,2,1,4,2,4,2,4,3,3,4
1030,8,1,Burmilla (Asian),2,1,2,3,5,4,3,5,1,1,4,1,5,5,5,2
2852,2,2,0,1,1,1,3,4,4,3,3,2,3,4,2,5,4,4,2
2347,7,2,Siamese,2,1,1,3,4,5,5,5,3,1,4,2,5,5,5,3
1176,2,1,0,2,1,1,3,4,4,3,4,4,1,2,4,5,5,5,3
605,21,2,0,2,2,1,3,4,3,5,4,2,1,4,2,4,3,5,2
2022,6,2,0,2,1,2,3,3,3,1,2,4,1,2,4,2,2,2,2
3210,1,1,0,2,2,1,3,4,3,3,2,3,1,3,2,4,2,4,2
2226,1,2,0,2,1,1,3,5,5,4,5,2,1,3,2,4,4,4,3
2889,1,2,0,1,1,1,2,5,5,4,1,4,1,3,2,5,1,4,2
382,6,1,0,2,2,1,4,3,3,3,3,2,1,5,2,4,4,5,2
2337,6,1,Moggy,2,1,1,3,4,4,3,4,2,1,4,2,4,4,4,2
2029,5,2,Ocicat,2,1,1,3,5,5,5,5,1,1,4,2,4,5,5,1
895,22,1,0,2,2,1,2,4,1,4,5,2,1,4,2,4,5,4,2
2234,16,1,0,2,2,1,3,4,4,1,3,4,1,2,3,4,3,3,3
98,15,1,0,2,1,1,3,3,2,5,5,3,1,4,2,5,5,5,4
464,3,1,Tonkineses,2,1,1,3,4,4,4,4,3,1,3,1,5,3,4,4
2457,3,1,0,2,1,1,3,5,3,1,3,3,1,2,2,4,4,4,3
93,4,1,0,1,1,1,3,5,4,2,5,3,1,4,2,5,5,5,2
1004,6,1,Maine Coon,2,1,1,3,5,5,5,5,5,1,4,1,5,5,5,2
2884,2,1,0,2,1,1,3,5,5,5,3,2,1,3,1,5,4,4,2
7,8,1,0,1,1,1,3,4,4,4,5,2,1,4,1,4,4,5,2
700,1,1,Bengal,2,2,1,3,5,5,5,5,4,1,5,2,4,4,5,1
610,2,1,0,2,1,1,3,5,5,5,1,2,1,3,2,4,4,4,2
2606,4,2,0,2,2,2,3,3,3,4,4,5,1,2,4,4,3,4,3
3059,11,1,Siamese,1,2,1,3,4,4,1,4,1,1,3,2,5,5,5,1
1074,5,1,0,2,1,2,3,5,3,3,5,1,3,5,1,4,5,4,1
161,8,1,0,2,1,1,3,4,4,1,3,2,1,3,3,4,3,3,1
187,6,1,0,2,1,2,3,5,3,1,4,2,1,3,2,5,4,5,2
171,7,2,maine coon,2,2,1,3,3,3,2,4,4,1,3,3,3,3,4,3
586,1,2,0,2,1,1,3,5,5,5,5,1,1,5,1,4,4,5,1
1744,16,2,0,2,1,1,3,4,3,4,4,1,1,3,3,4,3,3,1
2429,5,2,0,2,1,1,3,5,3,1,3,3,1,2,2,4,3,4,2
1970,1,1,0,2,1,2,3,4,4,3,3,5,3,1,3,4,2,3,5
440,1,2,Maine coon,1,1,1,3,5,5,3,4,4,1,4,2,4,5,5,4
2114,4,2,0,1,1,1,3,3,3,4,4,3,1,4,3,4,4,4,3
1606,9,1,0,2,1,1,4,3,3,4,4,4,1,3,2,5,5,4,3
671,3,2,0,2,1,1,3,4,4,4,4,2,3,5,2,5,4,5,1
1039,1,2,Bengal,2,1,1,3,5,5,3,3,1,1,4,1,5,4,5,2
368,1,2,0,2,1,1,4,5,4,3,5,3,1,4,2,4,5,5,2
546,5,2,0,1,1,1,3,5,4,4,2,2,2,4,2,4,1,4,1
2170,7,2,0,2,1,1,3,5,4,3,4,3,1,3,2,4,4,5,1
1719,8,1,0,2,1,2,4,5,4,4,4,1,1,4,2,5,5,5,2
1162,13,1,0,2,1,2,4,4,3,5,5,2,1,3,1,5,5,5,1
936,2,1,0,2,1,1,3,4,3,3,3,4,1,2,3,4,2,3,3
2344,1,2,0,1,1,1,3,5,5,4,0,0,1,0,0,0,0,0,0
2292,2,1,0,2,1,1,3,4,3,5,3,3,1,4,2,5,3,4,2
3170,10,1,0,2,2,2,3,3,3,4,5,1,1,4,1,5,5,5,1
2701,1,1,0,2,1,1,3,4,5,3,1,5,1,4,2,4,4,5,3
1404,2,2,Calico,1,1,1,3,4,4,5,3,4,1,2,1,5,2,3,4
3182,5,2,0,2,2,1,3,4,5,3,4,2,1,3,2,4,4,4,2
1519,2,1,0,2,1,1,3,4,4,1,5,4,1,2,4,3,4,3,4
797,8,1,Bengal ,1,1,1,3,5,5,5,5,3,1,2,1,4,5,5,3
2982,5,2,0,2,1,1,3,4,4,3,5,3,1,3,2,4,4,5,3
784,8,1,0,2,1,1,3,4,4,5,2,3,1,4,3,5,4,5,2
13,3,2,0,2,1,1,4,4,3,2,2,2,1,4,2,3,4,4,2
